SessionID,UserID,ChargerID,ScheduledSlot,EnergyKWh,ElectricityCostPerKWh,CustomerPricePerKWh,EstimatedRevenue,EstimatedCost,EstimatedProfit
24,92,1167,2022-09-26 07:00:00,22.0,7.0,10.0,220.0,154.0,66.0
25,283,82,2022-08-14 14:00:00,1.0,7.0,10.0,10.0,7.0,3.0
25,283,82,2022-08-14 15:00:00,1.0,7.0,10.0,10.0,7.0,3.0
26,38,783,2022-09-19 18:00:00,3.3600000000000003,11.0,10.0,33.6,36.96,-3.3600000000000003
27,0,54,2022-07-28 22:00:00,5.893877551020408,7.0,10.0,58.93877551020408,41.25714285714285,17.68163265306122
27,0,54,2022-07-28 23:00:00,5.893877551020408,7.0,10.0,58.93877551020408,41.25714285714285,17.68163265306122
27,0,54,2022-07-29 00:00:00,5.893877551020408,5.0,10.0,58.93877551020408,29.46938775510204,29.46938775510204
27,0,54,2022-07-29 01:00:00,5.893877551020408,5.0,10.0,58.93877551020408,29.46938775510204,29.46938775510204
27,0,54,2022-07-29 02:00:00,5.893877551020408,5.0,10.0,58.93877551020408,29.46938775510204,29.46938775510204
28,463,2060,2022-08-08 10:00:00,3.6,7.0,10.0,36.0,25.2,10.8
28,463,2060,2022-08-08 11:00:00,3.6,7.0,10.0,36.0,25.2,10.8
28,463,2060,2022-08-08 12:00:00,3.6,7.0,10.0,36.0,25.2,10.8
29,73,1032,2022-08-23 14:00:00,6.41081081081081,7.0,10.0,64.1081081081081,44.87567567567567,19.232432432432432
29,73,1032,2022-08-23 15:00:00,6.41081081081081,7.0,10.0,64.1081081081081,44.87567567567567,19.232432432432432
